地域,所在地都道府県,所在地市区町村,区,種別,公園名,所在地,緯度,経度
九州,福岡県,福岡市,東区,街区,土井公園,八田一丁目622−7,33.63493394,130.4596546
九州,福岡県,福岡市,東区,街区,和白公園,和白三丁目1523−17，1523-23和白四丁目1610−4,33.68878711,130.43007618
九州,福岡県,福岡市,東区,街区,多田羅大橋公園,多々良二丁目516−2,33.63126341,130.44578307
九州,福岡県,福岡市,東区,街区,津屋南公園,多の津五丁目1313−1，1318−1,33.6208542,130.4516008
九州,福岡県,福岡市,東区,街区,奈多東公園,奈多団地2359−14,33.68582288,130.41559678
九州,福岡県,福岡市,東区,街区,奈多西公園,奈多団地1912−4,33.6851703,130.41306141
九州,福岡県,福岡市,東区,街区,美和台東公園,美和台一丁目66−7，72−1,33.70122033,130.43323734
九州,福岡県,福岡市,東区,街区,松島公園,松島一丁目12区4−1，4-2,33.62651059,130.43347728
九州,福岡県,福岡市,東区,街区,米田公園,馬出六丁目85−1,33.61086365,130.42726873
九州,福岡県,福岡市,東区,街区,多田羅公園,多々良一丁目637−1,33.63066905,130.4510863
九州,福岡県,福岡市,東区,街区,香椎浜御幸公園,香椎浜四丁目7−26,33.65744304,130.43732361
九州,福岡県,福岡市,東区,街区,香椎台東公園,水谷二丁目209−163,33.65241915,130.44671311
九州,福岡県,福岡市,東区,街区,新浜公園,御島崎一丁目735−4，735−6,33.65844942,130.43692389
九州,福岡県,福岡市,東区,街区,八尻中公園,香椎駅東四丁目1−59,33.66619207,130.45317396
九州,福岡県,福岡市,東区,街区,八尻西公園,香椎駅東四丁目1−146,33.66486843,130.45289692
九州,福岡県,福岡市,東区,街区,八尻南公園,香椎駅東四丁目530−130,33.66447648,130.45418712
九州,福岡県,福岡市,東区,街区,八尻北公園,下原二丁目1327−16,33.66837029,130.45653795
九州,福岡県,福岡市,東区,街区,大蔵池南公園,高美台一丁目329,33.69013244,130.44857815
九州,福岡県,福岡市,東区,都市緑地,御島崎公園,御島崎二丁目,33.66037062,130.43787768
九州,福岡県,福岡市,東区,街区,香椎１号公園,香椎台三丁目1576-355,33.64987146,130.46082012
九州,福岡県,福岡市,東区,街区,名島西公園,名島一丁目2736-5の一部，2736-22，2736-30，2736-35，2736-36,33.64288729,130.42324925
九州,福岡県,福岡市,東区,街区,大蔵池北公園,高美台四丁目1-26,33.69223275,130.44676258
九州,福岡県,福岡市,東区,都市緑地,筥松公園,筥松三丁目2201-1,33.61692183,130.43043336
九州,福岡県,福岡市,東区,街区,高浜公園,三苫二丁目1752-579,33.69192754,130.41542796
